Exercise ID,Exercise,Compound,Movement Pattern,Default Reps,Default Sets,Default Rest (s),Unilateral/Bilateral,Equipment,Location Suitability,Space Needed,Impact Level,Knee-Friendly,Shoulder-Friendly,Back-Friendly,Skill Level,Target RPE,Tempo,Metcon Score (1-5),Contraindications,Coaching Cues,Video URL,Tags,Body Region,Primary Muscle Group,Plane of Motion,Force Vector,Load Type,Home-Friendly,Outdoor-Friendly,Warm-Up Category,Est. Time/Set
1,Goblet Squat,TRUE,Squat,10,3,60,Bilateral,Dumbbells,Home,Small,Moderate,TRUE,TRUE,TRUE,Beginner,7,3-0-3,2,Severe knee pain,"Keep chest up, elbows inside knees, weight on heels",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,TRUE,TRUE,Dynamic,60
2,Romanian Deadlift,TRUE,Hinge,8,3,90,Bilateral,Dumbbells,Home,Small,Low,TRUE,TRUE,FALSE,Beginner,7,3-0-3,2,Acute back injury,"Soft knees, hinge at hips, neutral spine, shoulders back",,Strength,Lower Body,Hamstrings,Sagittal,Vertical,External,TRUE,TRUE,,70
3,Push-Up,TRUE,Horizontal Push,12,3,60,Bilateral,Bodyweight,Home,Small,Moderate,TRUE,FALSE,TRUE,Beginner,6,2-0-2,3,Shoulder impingement,"Hands under shoulders, tight core, full range, elbows 45°",,Strength,Upper Body,Chest,Transverse,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,50
4,Inverted Row,TRUE,Horizontal Pull,10,3,60,Bilateral,Rings,Home,Medium,Low,TRUE,TRUE,TRUE,Intermediate,7,2-0-2,2,Recent shoulder surgery,"Pull chest to bar, squeeze shoulder blades, control descent",,Strength,Upper Body,Back,Transverse,Horizontal,Bodyweight,TRUE,TRUE,,55
5,Overhead Press,TRUE,Vertical Push,8,3,90,Bilateral,Dumbbells,Home,Medium,Low,TRUE,FALSE,FALSE,Intermediate,7,2-0-2,1,Shoulder injury,"Brace core, vertical forearms, press straight up, lock out",,Strength,Upper Body,Shoulders,Sagittal,Vertical,External,TRUE,TRUE,,65
6,Pull-Up,TRUE,Vertical Pull,5,3,120,Bilateral,Rings,Gym,Medium,Low,TRUE,FALSE,TRUE,Advanced,8,2-0-2,2,Shoulder impingement,"Full hang, pull chest to bar, control descent, shoulders back",,Strength,Upper Body,Back,Sagittal,Vertical,Bodyweight,FALSE,TRUE,,70
7,Walking Lunge,TRUE,Lunge,10,3,60,Unilateral,Dumbbells,Home,Large,Moderate,FALSE,TRUE,TRUE,Beginner,6,1-0-1,3,Acute knee pain,"Long stride, back knee to ground, torso upright, drive through front heel",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,TRUE,TRUE,Dynamic,55
8,Plank,FALSE,Core – Brace/Anti-Extension,30,3,45,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,FALSE,Beginner,5,Hold,1,Acute back pain,"Straight line, tight core, squeeze glutes, neutral neck",,Core,Core,Abs,Frontal,Isometric,Bodyweight,TRUE,TRUE,Static,35
9,Farmer's Carry,FALSE,Carry/Gait,40,3,60,Bilateral,Dumbbells,Home,Large,Low,TRUE,TRUE,TRUE,Beginner,6,Walk,2,Acute back injury,"Tall posture, shoulders back, tight core, controlled steps",,Strength,Full Body,Core,Multi,Vertical,External,TRUE,TRUE,Loaded,50
10,Kettlebell Swing,TRUE,Hinge,15,3,60,Bilateral,Kettlebell,Home,Medium,High,TRUE,TRUE,FALSE,Intermediate,7,Explosive,4,Lower back injury,"Hip hinge, explosive hip drive, bell to chest height, arms straight",,Power,Full Body,Hamstrings,Sagittal,Horizontal,External,TRUE,TRUE,Dynamic,45
